date,open,high,low,close,volume
2019-06-07,137.35,138.41,137.04,137.81,17107500
2019-06-10,138.35,139.89,138.35,138.62,18912300
2019-06-11,139.65,139.98,137.56,138.21,15373000
2019-06-12,138.10,138.65,137.59,138.37,11957600
2019-06-13,139.14,139.93,138.73,139.83,14839400
2019-06-14,139.66,139.71,138.60,138.61,16154800
2019-06-17,139.22,140.17,139.04,139.56,12509300
2019-06-18,140.51,142.23,139.58,141.19,22100800
2019-06-19,141.35,141.82,140.63,141.69,15625000
2019-06-20,143.06,143.21,141.58,142.36,17595700
2019-06-21,142.21,142.25,140.82,141.13,19854400
2019-06-24,141.51,141.55,139.34,139.42,24002600
2019-06-25,139.63,139.80,138.43,138.56,17462200
2019-06-26,139.07,139.54,138.21,138.24,15726900
2019-06-27,138.65,140.97,138.65,140.84,22278400
2019-06-28,141.13,143.03,141.12,142.55,35089900
2019-07-01,144.42,144.87,142.29,143.10,22850500
2019-07-02,143.03,143.12,141.41,142.23,19024600
2019-07-03,142.64,143.32,142.25,143.25,9115100
2019-07-05,142.54,143.69,141.96,143.63,14156700
2019-07-08,143.20,143.45,141.99,142.27,9735700
2019-07-09,141.67,142.49,141.62,142.46,12381600
2019-07-10,143.19,143.52,141.96,142.71,17325400
2019-07-11,142.91,142.95,141.38,142.01,14260800
2019-07-12,142.22,143.62,141.98,143.11,16678000
2019-07-15,143.52,143.55,141.96,142.36,12194300
2019-07-16,142.21,143.19,141.79,142.31,15152700
2019-07-17,142.31,142.40,140.93,141.30,14155100
2019-07-18,141.25,142.10,140.93,141.83,15705500
2019-07-19,142.04,142.49,141.01,141.01,17182600
2019-07-22,141.40,141.82,140.63,140.88,14474600
2019-07-23,141.43,141.84,140.75,141.82,15493200
2019-07-24,141.44,144.34,141.29,144.16,23823100
2019-07-25,144.09,144.15,142.18,142.42,17902500
2019-07-26,142.62,144.31,142.55,144.11,14260300
2019-07-29,144.10,144.26,142.64,143.15,13192200
2019-07-30,142.15,144.70,141.83,144.70,1200
2019-07-31,144.64,145.97,142.60,143.52,40445900
2019-08-01,143.82,145.00,140.80,141.44,38070200
2019-08-02,140.58,140.95,138.68,139.87,30148300
2019-08-05,137.31,137.44,134.04,135.68,39221500
2019-08-06,136.50,137.23,135.11,136.92,24283300
2019-08-07,135.60,137.24,134.48,136.89,23952100
2019-08-08,137.65,139.92,137.50,139.84,19415600
2019-08-09,139.43,139.48,137.54,138.08,19313200
2019-08-12,137.34,137.62,135.98,136.29,15963000
2019-08-13,135.99,139.15,135.37,137.76,21912600
2019-08-14,135.63,135.66,133.59,133.91,28235800
2019-08-15,134.41,134.46,132.73,133.37,24202400
2019-08-16,133.97,136.51,133.94,136.25,22783400
2019-08-19,137.80,138.33,137.46,137.63,17023400
2019-08-20,137.44,137.52,136.58,136.73,13324100
2019-08-21,138.08,138.11,137.32,137.86,13446100
2019-08-22,138.12,138.50,136.72,137.54,12979100
2019-08-23,136.79,137.61,132.86,133.32,36974600
2019-08-26,134.58,134.81,133.58,134.79,19167100
2019-08-27,135.64,135.69,132.63,132.79,24546200
2019-08-28,132.52,135.12,132.24,134.34,20115500
2019-08-29,135.81,136.86,135.64,136.69,18786300
2019-08-30,137.41,137.48,135.71,136.45,18727100
2019-09-03,135.17,135.97,133.84,134.45,20688000
2019-09-04,135.69,136.01,134.92,135.53,13107500
2019-09-05,137.37,139.26,136.93,138.05,25666700
