date,open,high,low,close,volume
2019-08-29,145.40,145.49,143.28,144.12,14762500
2019-08-30,143.84,144.88,143.02,143.75,9642200
2019-09-03,144.96,146.13,144.74,145.75,15615200
2019-09-04,145.54,146.82,145.50,146.66,11285900
2019-09-05,144.98,145.01,142.00,143.14,20293200
2019-09-06,143.64,144.06,141.86,141.92,14175200
2019-09-09,142.37,142.46,141.18,141.39,11323800
2019-09-10,141.23,141.53,140.16,140.18,12629200
2019-09-11,140.34,141.26,140.28,141.03,7453000
2019-09-12,142.68,143.10,141.11,141.32,12673700
2019-09-13,141.73,141.99,140.06,140.15,13451700
2019-09-16,141.60,142.05,141.02,141.32,8094600
2019-09-17,141.82,142.11,141.22,141.60,7010200
2019-09-18,141.93,142.53,139.81,140.71,15026300
2019-09-19,141.57,141.74,141.09,141.28,8057400
2019-09-20,141.61,143.03,141.46,142.95,12110000
2019-09-23,143.22,143.94,143.07,143.75,9006500
2019-09-24,143.21,144.77,142.88,144.51,10576300
2019-09-25,144.08,144.29,141.44,141.83,11648400
2019-09-26,142.19,142.57,141.56,141.79,7984600
2019-09-27,140.35,141.68,140.16,141.06,9804200
2019-09-30,139.77,140.21,138.03,138.87,15459100
2019-10-01,138.07,140.19,137.80,139.63,12476200
2019-10-02,140.79,141.88,140.46,141.26,11914300
2019-10-03,141.36,143.25,141.29,141.90,12396100
2019-10-04,141.48,142.31,141.14,141.90,9651000
2019-10-07,141.16,141.77,140.24,140.69,6127200
2019-10-08,142.03,142.29,141.17,141.92,10428900
2019-10-09,142.16,142.58,141.62,142.05,6927700
2019-10-10,141.59,141.66,140.58,140.81,9301700
2019-10-11,139.97,140.19,138.91,140.03,11333400
2019-10-14,140.45,140.82,140.34,140.59,4006700
2019-10-15,140.27,140.30,139.21,139.61,9128300
2019-10-16,140.14,140.53,139.70,140.41,10330300
2019-10-17,140.50,141.12,140.42,140.61,6131000
2019-10-18,140.50,140.71,140.32,140.46,6416100
2019-10-21,140.72,140.76,139.60,139.79,8306200
2019-10-22,140.13,140.30,139.72,140.20,3879700
2019-10-23,140.59,141.00,140.50,140.53,4155300
2019-10-24,141.02,141.74,140.93,141.53,6174800
2019-10-25,142.79,142.83,141.40,141.86,6011500
2019-10-28,141.25,141.25,140.40,140.64,5442000
2019-10-29,140.00,140.63,139.78,140.25,3835400
2019-10-30,140.54,141.04,139.55,141.02,6992900
2019-10-31,141.98,142.69,141.89,142.43,7050900
2019-11-01,142.21,142.90,142.01,142.56,8090000
2019-11-04,142.26,142.45,141.74,142.15,4740300
2019-11-05,140.65,140.89,139.38,139.85,11782300
2019-11-06,140.12,140.79,140.00,140.45,6416500
2019-11-07,140.11,140.20,137.60,138.27,15214200
2019-11-08,137.73,138.33,137.39,137.39,10377400
2019-11-11,137.61,137.79,136.44,137.06,7037300
2019-11-12,137.03,137.59,136.19,137.43,6448600
2019-11-13,137.80,138.22,137.64,137.98,8776000
2019-11-14,138.39,138.94,137.87,138.56,5220500
2019-11-15,138.03,138.42,137.97,138.21,10106700
2019-11-18,138.44,138.85,138.30,138.62,5717900
2019-11-19,138.13,138.97,138.13,138.69,4824400
2019-11-20,138.53,139.00,138.10,138.76,6892100
2019-11-21,138.39,138.56,137.77,138.00,4197200
2019-11-22,138.37,138.46,137.66,137.74,3620300
2019-11-25,137.32,137.62,136.99,137.08,6415800
2019-11-26,136.98,137.80,136.58,137.74,4724400
2019-11-27,137.03,137.21,136.83,137.01,4111000
2019-11-29,137.10,138.13,137.08,137.86,4516400
2019-12-02,137.32,138.09,137.30,137.79,8274700
2019-12-03,139.04,139.57,138.97,139.11,8481700
2019-12-04,139.16,139.17,138.59,138.92,6322300
2019-12-05,138.80,139.45,138.79,139.00,5671500
2019-12-06,137.76,137.83,137.40,137.62,8714500
2019-12-09,137.80,137.81,137.45,137.58,2711600
2019-12-10,138.25,138.33,137.74,137.97,3240800
2019-12-11,138.20,139.30,138.12,138.92,6097500
2019-12-12,139.78,139.85,137.88,138.43,8815100
2019-12-13,138.52,139.21,137.98,139.05,6964300
2019-12-16,139.20,139.39,138.80,139.04,4646100
2019-12-17,139.02,139.30,138.85,139.01,4287500
2019-12-18,138.86,139.25,138.81,139.02,3607600
2019-12-19,139.04,139.55,138.87,139.38,4975000
2019-12-20,139.37,139.52,138.98,139.52,4463900
2019-12-23,139.53,139.96,139.53,139.95,5180900
2019-12-24,140.44,141.33,140.43,141.27,5303700
2019-12-26,142.06,142.47,141.91,142.38,8342500
2019-12-27,142.26,142.73,142.17,142.33,5119900
2019-12-30,142.56,142.80,142.46,142.63,4810600
2019-12-31,143.31,143.60,142.80,142.90,5313500
2020-01-02,143.86,144.21,143.40,143.95,7733800
2020-01-03,145.75,146.32,145.40,145.86,12272800
2020-01-06,148.44,148.48,146.95,147.39,14403300
2020-01-07,147.57,148.14,147.43,147.97,7978500
2020-01-08,148.49,148.61,146.14,146.86,22248500
2020-01-09,146.07,146.41,145.44,146.03,10292300
2020-01-10,146.22,146.99,146.17,146.91,6183300
2020-01-13,146.35,146.38,145.78,145.82,7593800
2020-01-14,145.42,145.81,145.08,145.69,6589700
2020-01-15,146.21,146.73,145.82,146.54,6510000
2020-01-16,146.27,146.47,145.76,146.31,6069100
2020-01-17,146.51,146.99,146.31,146.58,11121100
2020-01-21,145.77,146.86,145.55,146.74,6086100
2020-01-22,146.68,146.81,146.38,146.79,4778200
2020-01-23,147.00,147.62,146.62,147.12,8419800
2020-01-24,146.90,148.38,146.89,147.98,9919900
2020-01-27,149.24,149.32,148.46,148.99,9988100
2020-01-28,148.36,148.56,147.53,147.66,7543100
2020-01-29,147.70,148.56,147.61,148.46,5013100
2020-01-30,148.69,149.31,148.01,148.47,9119500
2020-01-31,148.88,149.68,148.81,149.33,14788300
2020-02-03,148.66,148.78,147.68,148.36,9105300
2020-02-04,146.97,147.03,145.80,146.43,10525600
2020-02-05,146.38,146.81,146.16,146.61,6160700
2020-02-06,147.28,147.63,147.00,147.40,4819800
2020-02-07,147.83,148.18,147.34,147.79,6379300
2020-02-10,148.21,148.45,147.91,148.17,5793600
2020-02-11,148.03,148.16,147.01,147.66,5179400
2020-02-12,147.42,147.81,147.16,147.54,5040600
2020-02-13,148.24,148.58,147.95,148.38,7082100
2020-02-14,148.74,149.13,148.63,149.00,5345400
2020-02-18,149.88,151.09,149.47,150.91,11524900
2020-02-19,151.00,151.82,150.82,151.79,9269800
2020-02-20,152.00,152.83,151.95,152.41,8457300
2020-02-21,154.43,155.22,154.18,154.70,16344500
2020-02-24,158.50,158.53,155.36,156.09,27171000
2020-02-25,155.12,156.08,152.91,153.30,28091500
2020-02-26,153.82,155.28,152.90,153.97,17912500
2020-02-27,155.58,156.27,153.90,154.00,27878500
2020-02-28,152.71,152.77,147.05,148.38,42699600
2020-03-02,150.00,150.73,149.04,149.20,16295400
2020-03-03,150.84,155.24,150.74,153.89,28687700
2020-03-04,154.40,154.96,153.70,154.16,12315500
2020-03-05,156.06,157.62,155.72,157.49,17973500
2020-03-06,158.33,159.25,154.54,157.55,26973400
2020-03-09,158.60,159.37,156.33,157.81,24868700
2020-03-10,156.18,156.41,154.39,154.48,18811500
2020-03-11,156.25,156.50,153.61,153.93,18159900
2020-03-12,151.53,151.55,146.85,147.79,32893400
2020-03-13,149.42,149.60,141.58,143.28,35177200
2020-03-16,137.56,142.96,136.12,141.64,24496000
2020-03-17,140.18,146.20,139.93,143.56,24490300
2020-03-18,141.75,142.88,138.50,140.70,21953400
2020-03-19,139.08,140.50,137.85,138.04,20828900
2020-03-20,140.71,141.17,139.14,140.11,20056000
2020-03-23,142.68,146.93,142.28,146.30,28275200
2020-03-24,153.50,155.66,152.05,153.40,20743500
2020-03-25,152.58,152.88,151.01,151.30,16457200
2020-03-26,153.31,154.81,152.08,153.24,12778200
2020-03-27,153.00,153.55,152.00,152.25,9824600
2020-03-30,152.41,153.08,151.57,152.92,12080900
2020-03-31,151.36,151.80,147.97,148.05,13319500
2020-04-01,148.20,150.08,147.85,149.45,11827400
2020-04-02,151.20,152.50,150.70,151.90,9188300
2020-04-03,152.23,153.09,151.66,152.65,8469100
2020-04-06,154.16,157.22,153.96,156.88,14739300
2020-04-07,155.33,156.14,154.38,156.04,9195400
2020-04-08,155.91,155.94,154.59,154.65,7600800
2020-04-09,158.08,159.08,157.21,158.69,18123000
2020-04-13,159.17,162.38,158.63,161.41,20549200
2020-04-14,162.73,164.42,161.78,162.68,17095100
2020-04-15,161.80,162.54,160.81,161.85,12141900
2020-04-16,161.88,163.15,160.65,161.71,9233200
2020-04-17,159.72,160.07,158.12,158.57,14652700
2020-04-20,158.62,160.22,158.46,159.70,10688700
2020-04-21,157.60,159.21,157.04,158.61,12478100
2020-04-22,160.50,161.74,160.42,161.73,12902100
2020-04-23,162.39,163.60,161.84,163.34,14928500
2020-04-24,163.13,163.31,160.89,162.64,11199300
2020-04-27,161.88,162.00,160.41,161.56,9033500
2020-04-28,160.89,160.98,159.16,160.84,10383000
2020-04-29,160.10,161.85,159.76,161.73,12232300
2020-04-30,160.22,160.82,158.13,158.80,13633500
2020-05-01,158.00,160.45,157.80,159.78,10914300
2020-05-04,160.33,160.95,159.91,160.34,7986200
2020-05-05,160.16,161.10,159.33,161.02,10563100
2020-05-06,158.99,159.81,158.10,158.95,13352000
2020-05-07,159.50,161.96,159.36,161.39,13691700
2020-05-08,161.08,162.00,160.00,160.42,12240900
2020-05-11,160.34,160.71,158.89,159.42,11209800
2020-05-12,160.30,160.95,159.72,160.04,10406000
2020-05-13,160.94,161.62,160.54,161.58,10950400
2020-05-14,161.53,163.34,161.51,163.01,17084400
2020-05-15,164.02,164.80,163.08,163.93,13918800
2020-05-18,164.33,164.50,162.41,162.69,14133800
2020-05-19,163.60,164.43,163.04,164.26,8535800
2020-05-20,164.54,164.96,163.89,164.65,10666100
2020-05-21,163.46,163.58,161.37,162.25,11791000
2020-05-22,162.88,163.47,162.74,163.21,8540900
2020-05-26,162.58,162.58,160.69,160.89,13972000
2020-05-27,159.42,161.34,159.20,161.18,13063500
2020-05-28,162.12,162.46,160.90,161.72,9758500
2020-05-29,162.58,163.40,162.32,162.91,12581800
2020-06-01,162.92,163.74,162.39,163.66,8140200
2020-06-02,163.89,164.08,161.86,162.60,10388900
2020-06-03,160.34,160.90,158.82,159.60,17000500
2020-06-04,161.14,161.87,159.84,161.28,10094000
2020-06-05,158.72,158.72,157.04,158.01,16021200
2020-06-08,158.90,159.86,158.47,159.72,9244400
2020-06-09,161.10,161.78,160.87,161.26,9045600
2020-06-10,162.10,163.63,160.52,163.57,13009300
2020-06-11,163.35,164.06,161.97,162.39,11673900
2020-06-12,163.41,163.88,162.56,162.62,6895400
2020-06-15,160.52,162.56,160.16,162.33,8532500
2020-06-16,161.85,162.69,161.36,162.25,7964000
2020-06-17,162.00,162.62,161.77,162.56,4758200
2020-06-18,162.20,162.32,161.44,162.24,5397600
2020-06-19,162.87,164.09,162.78,164.03,12187400
2020-06-22,165.06,165.73,164.41,165.09,12385600
2020-06-23,165.63,166.52,165.52,166.48,12137300
2020-06-24,166.01,166.99,165.45,165.90,10901400
2020-06-25,165.89,165.91,165.16,165.80,7093800
2020-06-26,164.87,166.56,164.22,166.54,9753500
2020-06-29,166.56,166.80,166.18,166.63,6735700
2020-06-30,166.31,167.99,166.19,167.37,12762300
2020-07-01,167.05,167.06,165.34,166.62,13214800
2020-07-02,166.20,167.24,166.02,166.98,8753500
2020-07-06,167.75,168.00,167.19,167.98,7265700
2020-07-07,167.41,169.04,167.38,169.04,11633100
2020-07-08,170.32,170.86,169.78,170.09,11662700
2020-07-09,170.48,170.64,168.78,169.63,13327400
2020-07-10,169.95,170.15,168.57,169.19,8218000
2020-07-13,170.29,170.42,169.16,169.40,11095900
2020-07-14,168.97,170.20,168.81,170.19,9812700
2020-07-15,169.62,170.43,169.39,170.34,7533800
2020-07-16,169.80,170.00,168.65,168.73,10242400
2020-07-17,169.94,170.27,169.61,170.12,10296000
2020-07-20,170.76,171.07,170.27,170.94,10095500
2020-07-21,172.53,173.25,172.31,173.00,12826100
2020-07-22,174.05,175.77,173.76,175.63,18712500
2020-07-23,176.17,178.41,175.65,177.18,23006800
2020-07-24,179.14,179.16,178.20,178.70,15601300
2020-07-27,181.85,182.83,181.53,182.23,21115600
2020-07-28,182.02,184.26,181.42,183.75,21164600
2020-07-29,184.01,186.14,182.39,185.13,25640100
2020-07-30,183.44,184.33,182.13,183.76,18061200
2020-07-31,184.51,185.75,184.17,185.43,15876700
2020-08-03,185.05,185.82,184.20,185.64,12897000
2020-08-04,185.61,189.60,185.21,189.59,20773200
2020-08-05,191.65,193.13,190.62,191.35,27078100
2020-08-06,193.74,194.45,192.52,193.89,20640100
2020-08-07,192.71,192.96,189.33,190.81,24570200
2020-08-10,191.20,192.61,189.66,190.15,19047200
2020-08-11,183.57,183.98,179.43,179.94,45355000
2020-08-12,182.61,183.10,179.04,179.10,28660500
2020-08-13,181.56,184.70,181.36,183.33,18596800
2020-08-14,183.44,183.72,181.49,182.54,11792000
2020-08-17,184.69,187.01,184.66,186.50,15709800
2020-08-18,189.18,189.40,185.63,188.18,16291600
2020-08-19,187.21,187.46,181.71,182.24,24646900
2020-08-20,181.19,183.71,180.93,183.50,16692200
2020-08-21,182.14,182.81,180.47,182.03,12713700
2020-08-24,182.91,182.93,180.69,181.00,11605800
2020-08-25,181.06,181.25,179.73,181.22,10056100
2020-08-26,180.26,183.58,180.20,183.36,12715800
2020-08-27,185.00,185.17,179.37,181.24,16299200
2020-08-28,183.98,185.40,183.40,184.39,13200800
2020-08-31,184.79,185.53,184.28,184.83,10251200
2020-09-01,186.99,186.99,184.33,185.05,10662100
2020-09-02,183.75,183.86,181.50,182.62,11536900
2020-09-03,182.30,182.82,180.49,181.14,12148100
2020-09-04,180.95,182.10,180.05,181.64,11567900
2020-09-08,179.50,182.27,179.02,181.29,13229200
2020-09-09,182.50,183.22,182.19,183.05,8424100
2020-09-10,184.23,184.68,182.28,182.46,9143600
2020-09-11,183.14,183.55,182.01,182.45,7662300
2020-09-14,183.57,184.30,183.39,183.89,9709500
2020-09-15,184.46,184.67,182.92,183.45,7993700
2020-09-16,184.98,185.01,183.33,183.97,12702400
2020-09-17,181.92,183.09,181.48,182.96,8836200
2020-09-18,183.07,184.09,182.64,183.20,9959700
2020-09-21,179.84,180.29,176.75,179.52,17436100
2020-09-22,179.63,180.02,178.11,178.65,7977900
2020-09-23,176.98,177.26,174.10,174.79,18134000
2020-09-24,174.36,176.24,173.77,175.44,11759200
2020-09-25,174.41,175.30,173.89,174.94,6779200
2020-09-28,175.83,176.81,175.09,176.70,7109700
2020-09-29,177.19,178.33,176.95,178.19,8718500
2020-09-30,177.71,178.61,176.66,177.12,8371800
2020-10-01,178.71,179.50,178.04,178.70,10402800
2020-10-02,178.69,179.29,178.16,178.54,7488500
2020-10-05,179.02,180.14,178.90,179.41,6969600
2020-10-06,180.16,180.37,177.05,177.30,8632800
2020-10-07,177.09,177.42,176.43,177.22,6410900
2020-10-08,178.18,178.45,176.67,177.85,6530800
2020-10-09,180.13,181.17,179.93,181.08,15979800
2020-10-12,180.57,180.83,180.19,180.56,4843000
2020-10-13,178.56,178.60,177.10,177.72,8384300
2020-10-14,179.09,179.59,178.27,178.27,9076600
2020-10-15,177.71,179.15,177.59,178.92,6815400
2020-10-16,179.22,179.32,178.13,178.30,7260700
2020-10-19,179.41,179.48,178.37,178.39,6084400
2020-10-20,178.54,179.67,178.08,179.25,7121400
2020-10-21,180.47,181.31,180.23,180.60,7548100
2020-10-22,178.88,179.03,177.72,178.83,8377000
2020-10-23,179.09,179.20,177.76,178.64,5919300
2020-10-26,178.75,179.14,178.22,178.55,5105100
2020-10-27,178.71,179.43,178.51,179.02,5826900
2020-10-28,176.45,176.85,175.44,176.13,11734100
2020-10-29,175.02,176.14,174.83,175.40,8474500
2020-10-30,177.18,177.36,175.95,176.20,7303000
2020-11-02,177.45,177.93,177.13,177.91,6498400
2020-11-03,178.95,179.39,178.30,178.92,7577200
2020-11-04,178.93,179.19,177.66,178.82,11117300
2020-11-05,181.00,183.29,180.97,182.93,16102800
2020-11-06,183.40,183.53,182.19,183.19,10378300
2020-11-09,176.42,176.45,173.64,175.08,29800700
2020-11-10,176.75,176.91,175.66,175.66,11728500
2020-11-11,174.70,175.28,174.44,174.90,9008500
2020-11-12,176.04,176.77,175.84,175.96,7167900
2020-11-13,177.65,177.80,176.84,177.16,6469800
2020-11-16,177.23,177.91,176.87,177.15,8358500
2020-11-17,177.25,177.44,176.09,176.50,8229100
2020-11-18,176.26,176.86,175.35,175.49,7384700
2020-11-19,174.30,175.22,174.17,175.16,6965100
2020-11-20,176.12,176.38,175.58,175.69,6379400
2020-11-23,175.10,175.24,171.78,172.23,15510600
2020-11-24,169.30,169.69,168.86,169.59,19504000
2020-11-25,169.98,170.52,169.24,169.51,10286600
2020-11-27,166.90,167.83,166.78,167.79,10569100
2020-11-30,166.68,167.43,166.03,166.67,13210000
2020-12-01,169.76,170.48,169.30,170.18,13533300
2020-12-02,170.57,171.76,170.15,171.46,9199700
2020-12-03,172.64,172.85,171.08,172.81,10457300
2020-12-04,172.78,173.32,171.59,172.32,10098600
2020-12-07,172.56,175.29,172.51,174.89,10555100
2020-12-08,175.51,175.93,174.72,175.50,6348400
2020-12-09,173.92,174.04,171.24,172.50,10743200
2020-12-10,172.90,173.58,171.70,172.17,6564000
2020-12-11,172.25,173.32,172.11,172.49,6084800
2020-12-14,171.91,172.52,170.91,171.54,7644400
2020-12-15,173.43,173.98,173.06,173.94,6840500
