date,open,high,low,close,volume
2019-10-14,116.41,116.43,116.08,116.39,5936900
2019-10-15,115.74,115.97,114.82,114.98,11832300
2019-10-16,114.89,115.24,114.65,115.12,7729500
2019-10-17,114.79,115.50,114.61,114.84,6219300
2019-10-18,115.03,115.38,114.74,114.84,6456100
2019-10-21,114.01,114.36,113.73,113.98,8038000
2019-10-22,114.68,114.80,114.07,114.65,6683300
2019-10-23,115.21,115.44,114.66,114.76,5995400
2019-10-24,114.93,115.39,114.39,114.53,6161700
2019-10-25,114.80,114.82,113.80,113.97,5669800
2019-10-28,113.20,113.20,112.71,112.93,11402100
2019-10-29,113.23,113.33,112.86,113.01,5296600
2019-10-30,113.35,114.74,113.35,114.66,10914100
2019-10-31,115.58,116.57,115.54,116.21,15834100
2019-11-01,115.99,116.44,115.22,115.85,11425500
2019-11-04,114.54,114.68,114.18,114.33,11124300
2019-11-05,113.10,113.28,112.69,113.04,13493000
2019-11-06,113.76,114.08,113.20,113.73,9351900
2019-11-07,112.38,112.39,110.82,111.66,19209800
2019-11-08,111.39,112.05,111.09,111.19,10222900
2019-11-11,111.58,111.59,110.97,111.27,4577000
2019-11-12,111.50,112.05,111.10,111.78,5772900
2019-11-13,112.76,112.88,112.23,112.51,6672400
2019-11-14,113.58,114.10,113.47,113.67,10213300
2019-11-15,113.31,113.87,113.27,113.54,4657600
2019-11-18,113.91,114.24,113.68,113.75,5943900
2019-11-19,114.05,114.76,114.05,114.70,7893100
2019-11-20,115.32,115.88,115.20,115.88,7905500
2019-11-21,115.09,115.46,114.66,115.16,5980900
2019-11-22,115.47,115.62,115.13,115.31,4664800
2019-11-25,115.64,115.83,115.54,115.65,4157300
2019-11-26,116.21,116.47,116.16,116.32,4281100
2019-11-27,115.88,116.14,115.74,115.98,4095700
2019-11-29,115.90,115.95,115.21,115.74,6251100
2019-12-02,114.05,114.49,113.90,114.19,17702200
2019-12-03,115.62,117.05,115.53,116.59,13062400
2019-12-04,115.87,116.00,114.94,115.42,8586300
2019-12-05,114.48,115.13,114.43,114.86,7273800
2019-12-06,113.96,114.86,113.82,114.23,7931100
2019-12-09,114.75,114.85,114.41,114.47,4016900
2019-12-10,114.91,115.05,114.28,114.48,4947600
2019-12-11,115.01,115.70,114.95,115.38,6256700
2019-12-12,114.92,114.99,112.79,113.48,14857000
2019-12-13,114.04,115.27,113.30,114.80,11335100
2019-12-16,114.27,114.32,113.47,113.76,9156600
2019-12-17,114.11,114.22,113.29,113.61,6179700
2019-12-18,113.36,113.48,112.52,112.67,6244700
2019-12-19,112.47,113.18,112.27,112.85,6591100
2019-12-20,112.57,113.04,112.41,113.00,5455700
2019-12-23,113.14,113.27,112.47,112.84,5175000
2019-12-24,112.40,113.34,112.37,113.16,4667400
2019-12-26,113.22,113.47,112.89,113.43,5290200
2019-12-27,113.66,113.81,113.53,113.56,7300500
2019-12-30,112.37,113.21,112.18,113.14,7979700
2019-12-31,112.64,112.85,111.95,112.04,10707400
2020-01-02,113.12,113.73,113.02,113.30,11034100
2020-01-03,114.34,115.08,114.02,115.05,12366000
2020-01-06,115.52,115.53,114.24,114.39,11369800
2020-01-07,114.30,114.51,113.82,113.83,8381200
2020-01-08,114.06,114.38,112.73,113.08,10621700
2020-01-09,112.47,113.66,112.39,113.47,7411500
2020-01-10,113.85,114.51,113.81,114.48,8776000
2020-01-13,114.02,114.19,113.62,114.14,5966900
2020-01-14,114.27,114.80,114.24,114.72,13920300
2020-01-15,115.38,115.57,114.96,115.48,6290500
2020-01-16,115.16,115.38,114.73,115.12,6798600
2020-01-17,113.77,114.24,113.59,114.14,9693100
2020-01-21,114.79,115.48,114.76,115.34,6794900
2020-01-22,115.54,115.89,115.43,115.74,6317000
2020-01-23,116.48,116.91,116.42,116.55,9747400
2020-01-24,116.95,117.88,116.85,117.49,8585000
2020-01-27,119.04,119.32,118.67,119.32,10935200
2020-01-28,119.02,119.16,118.11,118.39,10612900
2020-01-29,118.62,119.66,118.61,119.54,9566800
2020-01-30,119.83,120.46,119.32,119.56,14711800
2020-01-31,120.05,120.73,119.98,120.65,14538100
2020-02-03,120.07,120.74,119.38,120.55,15309000
2020-02-04,119.27,119.40,118.50,118.93,11388300
2020-02-05,117.87,118.20,117.54,117.63,10782600
2020-02-06,117.77,118.35,117.62,118.16,6683100
2020-02-07,119.46,119.89,119.17,119.64,11374800
2020-02-10,120.19,120.31,119.84,119.97,6699300
2020-02-11,119.77,119.88,119.23,119.36,7784100
2020-02-12,118.76,118.91,118.44,118.76,5595500
2020-02-13,118.82,119.44,118.67,119.21,7883400
2020-02-14,119.91,120.17,119.65,119.73,7137400
2020-02-18,120.39,120.98,120.04,120.55,6909200
2020-02-19,120.21,120.62,120.09,120.55,5707700
2020-02-20,121.00,121.71,120.94,121.49,9332900
2020-02-21,122.43,123.32,122.30,122.63,13860300
2020-02-24,124.94,125.04,124.25,124.46,15929300
2020-02-25,124.42,125.71,124.37,125.12,20802900
2020-02-26,124.21,125.67,123.90,124.46,22589500
2020-02-27,126.49,126.80,124.94,125.81,30687900
2020-02-28,127.94,129.20,127.69,128.65,44935200
2020-03-02,128.83,129.82,127.55,127.70,28152400
2020-03-03,127.59,132.48,126.39,129.68,38608000
2020-03-04,129.75,130.53,127.91,128.31,23463700
2020-03-05,130.35,131.75,130.08,131.50,17786200
2020-03-06,138.78,140.47,136.14,138.34,76288300
2020-03-09,148.57,149.07,141.31,142.09,41552800
2020-03-10,140.72,143.45,134.41,134.81,37728300
2020-03-11,137.23,138.56,129.10,129.85,29519300
2020-03-12,135.64,138.00,129.13,130.65,24361800
2020-03-13,128.58,131.23,126.25,127.70,19812900
2020-03-16,133.04,137.83,130.91,135.97,30496700
2020-03-17,135.63,137.40,126.68,126.90,18570900
2020-03-18,126.79,127.87,115.32,119.75,47061000
2020-03-19,121.90,127.29,120.49,123.01,21175300
2020-03-20,127.17,132.26,126.18,132.26,20863100
2020-03-23,130.65,138.28,129.88,137.71,19971800
2020-03-24,133.77,137.25,133.07,135.14,11948600
2020-03-25,135.71,138.27,134.07,134.84,10750600
2020-03-26,136.05,137.44,134.61,135.50,10576200
2020-03-27,137.31,139.57,136.54,139.12,12550000
2020-03-30,139.61,141.11,137.66,137.97,13473200
2020-03-31,137.46,138.47,136.51,136.85,11464800
2020-04-01,139.96,140.36,138.24,138.77,11334700
2020-04-02,140.26,140.58,138.95,139.65,5771200
2020-04-03,140.02,141.50,139.68,139.98,6570800
2020-04-06,138.74,139.79,138.34,139.62,9434800
2020-04-07,137.04,138.25,136.00,138.15,13811400
2020-04-08,137.16,138.06,136.35,137.15,10147100
2020-04-09,136.48,137.73,136.06,137.40,14259100
2020-04-13,136.87,137.66,136.14,136.14,8750300
2020-04-14,136.11,136.86,135.81,136.11,9019100
2020-04-15,138.57,140.06,138.52,139.72,10027800
2020-04-16,140.61,141.49,140.41,141.30,8265400
2020-04-17,141.08,141.93,138.96,139.41,8612100
2020-04-20,139.93,140.64,139.53,140.53,6462600
2020-04-21,142.83,143.01,141.88,142.30,7850700
2020-04-22,141.20,141.55,140.16,140.85,6230200
2020-04-23,141.12,142.00,140.90,141.59,5968600
2020-04-24,140.90,141.93,140.87,141.93,6211800
2020-04-27,140.94,141.02,139.10,139.28,9039500
2020-04-28,140.02,141.10,139.94,140.89,9905400
2020-04-29,140.84,141.44,139.53,140.16,8619600
2020-04-30,140.18,140.59,138.49,138.52,11606100
2020-05-01,139.33,139.84,138.45,139.71,10209400
2020-05-04,139.38,139.48,138.48,139.05,8300900
2020-05-05,137.73,138.31,137.48,138.16,7831800
2020-05-06,135.78,136.12,134.80,135.93,14721500
2020-05-07,136.05,138.39,135.87,138.20,9164800
